poi_name,poi_rating,poi_price,poi_category,poi_address,poi_latitude,poi_longitude,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Erdeniz Balık  Restoran,3.5,Unknown,['Seafood'],"İnciraltı Mh., 10. Sk. Balçova, 35330 İzmir, Turkey",38.4086059869884,27.0351621508598,yelp,İnciraltı Rekreasyon Alanı,579.2464689630035,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Kumrucu İzzet,1.0,₺₺,['Fast Food'],"İnciraltı Cad., No: 56, 35340 İzmir, Turkey",38.406405,27.035742,yelp,İnciraltı Rekreasyon Alanı,825.7947828196429,İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Zaitun Seafood Restaurant,8.2,3.0,Seafood,"Ulupınar Sok No18 Narlıdere (Gürler Caddesi), İzmir",38.412842,27.015121,foursquare,Sahilevleri 1,216.2084147994039,Sahilevleri 1,38.411389,27.013472,40
İsmail Baba Mangal Ve Köy Kahvaltısı,6.6,2.0,Breakfast,İzmir,38.408629,27.014746,foursquare,Sahilevleri 1,326.35666814822025,Sahilevleri 1,38.411389,27.013472,40
Casa De Costa,7.5,Unknown,Restaurant,"Gürler Cad No: 208 Sahilevleri, Narlıdere",38.407873,27.007969,foursquare,Sahilevleri 1,618.6723002051267,Sahilevleri 1,38.411389,27.013472,40
Farklı Cafe & Restaurant,4.0,₺₺,"['Cafes', 'Turkish', 'Coffee & Tea']","Gürler Cad. No:208, Sahilevleri, Narlıdere, 35320 İzmir, Turkey",38.4082293,27.0073228,yelp,Sahilevleri 1,640.709589937446,Sahilevleri 1,38.411389,27.013472,40
İnci büfe,3.6,₺,"['Coffee & Tea', 'Cafes']","Sahilevleri Mah. Gürler Sok. No. 7b Narlıdere - İzmir, 35320 İzmir, Turkey",38.4116672,27.014752,yelp,Sahilevleri 1,115.7358321151382,Sahilevleri 1,38.411389,27.013472,40
İnci Çay Bahçesi,3.0,₺,"['Coffee & Tea', 'Cafes']","Gürler Cad., Sahilevleri, Narlıdere, 35320 İzmir, Turkey",38.408435,27.00605,yelp,Sahilevleri 1,725.3240672255981,Sahilevleri 1,38.411389,27.013472,40
Pavarotti Sea & More,8.9,3.0,Seafood,"Gurler Cad No: 122/A (gürler caddesi), 35320 İzmir",38.408013,27.002906,foursquare,Sahilevleri 2,623.5610731594622,Sahilevleri 2,38.406137,26.996162,20
Sahilevleri Barınak Cay Ocağı,8.8,2.0,Café,Narlıdere,38.406712,26.997051,foursquare,Sahilevleri 2,100.44150820190227,Sahilevleri 2,38.406137,26.996162,20
Mey-Zade,7.8,Unknown,Meyhane,"Gürler Cad No:46, Narlıdere",38.406218,26.997384,foursquare,Sahilevleri 2,106.85972496589567,Sahilevleri 2,38.406137,26.996162,20
'Dut Restaurant Cafe Bar,8.3,2.0,Café,"Gürler Cad No: 54 Sahilevleri, 35320 İzmir",38.406242,26.9982,foursquare,Sahilevleri 2,177.9653409990413,Sahilevleri 2,38.406137,26.996162,20
Taka Balık Evi,7.8,2.0,Mediterranean,"Gürler Cad, No: 50, 35320 Narlıdere",38.406118,26.99735,foursquare,Sahilevleri 2,103.53849857018791,Sahilevleri 2,38.406137,26.996162,20
By Özcan Köşem Balık Evi,6.4,Unknown,Dining and Drinking,"Güler Caddesi, İzmir",38.405905,26.996977,foursquare,Sahilevleri 2,75.55595233746406,Sahilevleri 2,38.406137,26.996162,20
Sir Winston,7.4,2.0,Café,"Gürler Cad No:56, Narlıdere",38.406337,26.998561,foursquare,Sahilevleri 2,210.21733121584973,Sahilevleri 2,38.406137,26.996162,20
Mavisu Balık Evi,8.6,3.0,Seafood,"Gürler Cad, No:70, 35000 İzmir",38.406987,26.999503,foursquare,Sahilevleri 2,306.07654429043384,Sahilevleri 2,38.406137,26.996162,20
Rıhtım Restaurant,6.2,3.0,Seafood,Unknown,38.406012,26.997164,foursquare,Sahilevleri 2,88.40924955869903,Sahilevleri 2,38.406137,26.996162,20
Poyraz Balık Evi,7.5,3.0,Seafood,"Gurler Cad (Sahilevleri), Narlıdere",38.406835,26.999092,foursquare,Sahilevleri 2,266.84254410557384,Sahilevleri 2,38.406137,26.996162,20
Eftelya Balik,7.6,3.0,Seafood,"Gurler Cad (Sahilevleri), İzmir",38.407048,26.999464,foursquare,Sahilevleri 2,305.03103061299396,Sahilevleri 2,38.406137,26.996162,20
Dut  Restoran & Cafe-Bar,4.3,₺,"['Mediterranean', 'Turkish', 'Seafood']","Gürler Cad. No:54 Sahilevleri, Narlıdere, 35320 İzmir, Turkey",38.4063603,26.9980034,yelp,Sahilevleri 2,162.3608398469869,Sahilevleri 2,38.406137,26.996162,20
Bizim Gazino,4.5,Unknown,"['Seafood Markets', 'Restaurants']","Altıevler Mah., Meyveli Sok. No: 14, İzmir, Turkey",38.40011,26.987634,yelp,Sahilevleri 2,1000.6808362943449,Sahilevleri 2,38.406137,26.996162,20
Gizli Bahçe,3.6,Unknown,['Turkish'],"Yalı Mah., 144. Sok. No: 27/A-B Güzelbahçe, 35330 İzmir, Turkey",38.3747902,26.898695,yelp,Sahilevleri 2,9181.990117509846,Sahilevleri 2,38.406137,26.996162,20
Gıdacılar Sandviç-Köfte-Mantı,3.0,Unknown,['Fast Food'],"Mithatpaşa Cad. 181 Sok. No:2/ C, 35340 İzmir, Turkey",38.3725586,26.8786507,yelp,Sahilevleri 2,10901.14378849823,Sahilevleri 2,38.406137,26.996162,20
İnciraltı Engelliler Kafeteryası,7.8,2.0,Café,İzmir,38.407269,27.066345,foursquare,İnciraltı Kent Ormanı,398.48280567191927,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Free Time,3.5,₺,['Turkish'],"Novada AVM., Çetin  Emeç Mah.Moda Sok. No:6/ A .Balçova, 35320 İzmir, Turkey",38.411634,27.064018,yelp,İnciraltı Kent Ormanı,581.8714843329903,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Peximet,3.7,₺₺,"['Cafes', 'Coffee & Tea']","Agora AVM., Mithatpasa Cad. No:1446 Balcova, İzmir, Turkey",38.398317,27.053289,yelp,İnciraltı Kent Ormanı,1192.0118023547955,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Sipari Restaurant,8.2,3.0,Seafood,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",38.406202,27.06735,foursquare,Üçkuyular İskelesi,295.67024566337096,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Teras By Tuval,7.9,3.0,Mediterranean,"Levent Marina, İzmir",38.406258,27.0674,foursquare,Üçkuyular İskelesi,295.5138560126255,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Nefes Restoran-Kafe-Bar,7.5,2.0,Café,"Levent Marina, İzmir",38.40592,27.067684,foursquare,Üçkuyular İskelesi,254.38505044494676,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tuzu Biberi,7.3,2.0,Breakfast,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",38.406334,27.067491,foursquare,Üçkuyular İskelesi,293.99634024574783,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Boğaziçi Restaurant - Üçkuyular,8.9,3.0,Diner,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",38.405394,27.070807,foursquare,Üçkuyular İskelesi,89.2392879611825,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Damak Çatlatan Lezzetler,6.7,2.0,Turkish,"Levent Marina Haydar Aliyev Bul No:4, İzmir",38.405488,27.068388,foursquare,Üçkuyular İskelesi,177.3899941493867,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Potiri Meyhane,4.2,₺₺₺₺,"['Pubs', 'Turkish']","Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",38.405989,27.0674,yelp,Üçkuyular İskelesi,279.64373915390365,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Sipari Balık Restaurant,4.7,Unknown,"['Seafood', 'Turkish']","Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",38.406137,27.067246,yelp,Üçkuyular İskelesi,299.52374857237965,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Boğaziçi Restaurant,4.7,₺₺₺,"['Turkish', 'Seafood', 'Breakfast & Brunch']","Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",38.405569,27.070974,yelp,Üçkuyular İskelesi,113.53767597079576,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tuval Restaurant,5.0,Unknown,"['Turkish', 'Mediterranean']","Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",38.4057308,27.0683864000001,yelp,Üçkuyular İskelesi,191.47659253926,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tarasa Nostalji,4.0,Unknown,"['Fast Food', 'Turkish']","Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",38.405926,27.067459,yelp,Üçkuyular İskelesi,271.7442396252981,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Eatery,8.5,Unknown,Restaurant,"İstinye Park, Balçova",38.39952,27.068038,foursquare,Fahrettin Altay,381.9068767936607,Fahrettin Altay,38.39675,27.070629,12
Masa Restaurant,8.5,2.0,Café,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",38.399388,27.067648,foursquare,Fahrettin Altay,391.82850655452694,Fahrettin Altay,38.39675,27.070629,12
Godiva,8.4,2.0,Café,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",38.399388,27.067648,foursquare,Fahrettin Altay,391.82850655452694,Fahrettin Altay,38.39675,27.070629,12
Mr. Rakun,8.3,2.0,Café,"İnönü Cad No:885/A, 35290 İzmir",38.396463,27.071093,foursquare,Fahrettin Altay,51.51236665445862,Fahrettin Altay,38.39675,27.070629,12
Gönül Çorba,7.8,1.0,Soup Spot,"Mehmetçik BLV, 35290 İzmir",38.396568,27.069426,foursquare,Fahrettin Altay,106.77312867000649,Fahrettin Altay,38.39675,27.070629,12
Dürümcü İlker Usta,8.6,Unknown,Kebab,"65/11 Sok No: 2, İzmir",38.396037,27.068495,foursquare,Fahrettin Altay,202.16648404804576,Fahrettin Altay,38.39675,27.070629,12
Dönerci Vedat,8.7,Unknown,Doner,"İstinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",38.398181,27.068774,foursquare,Fahrettin Altay,226.82985498645067,Fahrettin Altay,38.39675,27.070629,12
Şeref Usta Balık & Meze Evi,8.4,3.0,Seafood,Unknown,38.395463,27.072899,foursquare,Fahrettin Altay,244.16107263303505,Fahrettin Altay,38.39675,27.070629,12
Caffe Nero,8.2,2.0,Café,"Istinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",38.39874,27.06867,foursquare,Fahrettin Altay,279.4794241643283,Fahrettin Altay,38.39675,27.070629,12
