restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Cızz Bızz Balık Evi,38.440044,27.14408,4.3,3.0,Seafood,(0232) 465 00 78,"Kibris Sehitleri Cad No: 171/B Alsancak, İzmir",340,foursquare
Alsancak Dostlar Fırını - Boyoz,38.439055,27.143856,4.65,1.0,Bakery,(0232) 421 92 02,"Kıbrıs Şehitleri Cad No: 120 Alsancak, 35210 İzmir",363,foursquare
Kulüp Ali Restoran,38.439095,27.145435,4.0,3.0,Seafood,(0232) 421 40 48,"1469 Sok, No: 35, Alsancak (Kıbrısşehitleri Cd), Konak",338,foursquare
Big Baker,38.441532,27.144033,4.35,3.0,American,,Konak,375,foursquare
Analytichef Pastry & Coffee,38.44735,27.174069,4.2,2.0,Café,(0232) 502 75 80,"Ege Perla 2 Kat (Ozan Abay caddesi), 35170 İzmir",375,foursquare
Konak Orduevi,38.442823,27.171122,,2.0,Café,,,264,foursquare
Meles Deltası Piknik Alanı,38.448618,27.170565,3.2,,Food Court,,İzmir,382,foursquare
Çınarlı Fırını,38.439997,27.172503,3.95,1.0,Bakery,,"Anadolu Cad No:5, İzmir",587,foursquare
Cafe Del VRP,38.450551,27.170788,3.7,2.0,Indian,,,604,foursquare
Garden & Grill By Hilton,38.450282,27.171293,3.5,2.0,BBQ,,,553,foursquare
Zeytin Restaurant,38.447912,27.17844,4.2,,Turkish Home Cooking,,,734,foursquare
Panino Pizza,38.448019,27.173467,,2.0,Pizza,,İzmir,409,foursquare
Kürkçü Dükkanı,38.439105,27.172554,3.55,,Meyhane,,"1574Sokak No/5 Çınarlı Konak, İzmir",693,foursquare
Alaçatı Kafası,38.448473,27.179066,3.8,,Meyhane,,"Mistral, İzmir",810,foursquare
Varyant Kokoreç,38.471241,27.208523,3.95,,Kokoreç Restaurant,,"Atatürk Mah (İstiklal Caddesi), 35000 Bornova",419,foursquare
Bornovalılar Kasabı,38.464483,27.209256,4.25,4.0,Steakhouse,,555 Sok,485,foursquare
Gandi'Nin Yeri,38.465187,27.208394,4.35,2.0,Bar,(0232) 374 40 29,"Yüzbaşı İbrahim Hakkı Cad No:127/A, İzmir",521,foursquare
Meyhane,38.46525,27.207428,4.1,2.0,Meyhane,(0232) 373 98 72,"Yüzbaşı İbrahim Hakkı Cad No:123/B, İzmir",501,foursquare
Biz Bize,38.464819,27.207697,4.0,,Restaurant,0554 980 74 01,"Aşık Veysel Rekreasyon Alanı Yanı (Gediz Caddesi), Bornova",514,foursquare
Bade Fırın Cafe,38.464053,27.208597,4.1,2.0,Café,,"Gediz Cad No:36 Bornova (Gediz Caddesi), İzmir",565,foursquare
Samsun Pide Evi,38.46334,27.213255,4.25,,Pide,(0232) 374 44 00,"Mustafa Kemal Cad, 159 Sok, No: 33 / A, Kazımdirik (Mustafa Kemal cad), Bornova",585,foursquare
Baba Meyhane,38.464053,27.208597,4.0,,Meyhane,0532 207 17 33,Bornova,556,foursquare
Domino's Pizza,38.4718,27.20923,3.4,2.0,Pizza,(0232) 346 08 08,"513 Sok No: 78/A, 35030 Bornova",426,foursquare
Bahrimu Bodrum Balıkçısı,38.465619,27.206271,3.9,1.0,Seafood,(0232) 339 71 00,"Yüzbaşı İbrahim Hakkı Cad No:155/C (Yüzbaşı İbrahim Hakkı caddesi no 193/A), 35100 Bornova",568,foursquare
Bayraklı İskele Cafe,38.463939,27.161916,3.8,2.0,Café,,"Altınyol Caddesi, İzmir",81,foursquare
Cafe Enfes,38.462916,27.165664,3.95,2.0,Café,,Bayraklı,254,foursquare
Sanal Kumda Kahve & Waffle,38.463541,27.166031,3.95,2.0,Café,,"1915 Sok No:6/A (Sevgi Yolu), İzmir",273,foursquare
Mevlana Pide & Döner,38.464027,27.165811,4.05,2.0,Pide,(0232) 371 94 20,"Ord. Prof. Ekrem Akurgal Cad No:49/A Bayrakli (Bayraklı Sevgi Yolu), 35530 İzmir",286,foursquare
Meyhane Nevizade,38.462715,27.164188,3.45,2.0,Meyhane,0505 470 62 04,"1606/1 Sok No:8, Bayraklı",176,foursquare
Kula Pide Restaurant,38.462697,27.166306,4.05,,Pide,0532 494 68 25,Bayraklı,315,foursquare
Köfteci İsmet Usta,38.463133,27.166876,3.95,,Kofte,(0232) 371 96 69,"1916 Sok (Bayrakli sevgi yolu), 35530 Bayraklı",301,foursquare
Bizim Döner Murat Usta,38.464429,27.165981,3.9,2.0,Turkish,,Bayraklı,315,foursquare
Mert'in Yeri & İsmail Usta,38.463496,27.166733,3.95,4.0,Steakhouse,(0232) 345 89 99,"1916 Sok No:4A Bayraklı (Sevgi Yolu Bayraklı), İzmir",361,foursquare
Nihat'ın Yeri,38.464258,27.161285,,1.0,Sandwich Spot,,,146,foursquare
Havuz Cafe Restoran-Bayraklı A.Ş.,38.466638,27.159121,3.55,2.0,Café,,"Altınyol Cad No:75/A Fuat Edip Baksı Mah Bayraklı, Bayraklı",31,foursquare
Cafe Cansu,38.467867,27.160206,3.75,2.0,Café,(0232) 341 43 44,"Zeki Yavaş Cad No: 78, Bayraklı",157,foursquare
Bayraklı Cafe,38.466354,27.159864,,2.0,Café,,İzmir,96,foursquare
Enişte Börek Evi,38.467448,27.160713,3.15,2.0,Breakfast,(0232) 371 22 23,"1644 Sok (Anadolu Caddesi), İzmir",175,foursquare
Bayraklı İskele Cafe,38.463939,27.161916,3.8,2.0,Café,,"Altınyol Caddesi, İzmir",409,foursquare
Mandarin,38.467054,27.153591,3.9,,Restaurant,,"Turan Mah, İzmir",462,foursquare
Seferoğulları Unlu Mamulleri,38.467357,27.165413,3.8,1.0,Bakery,,Bayraklı,589,foursquare
Yıl Teras Cafe,38.471745,27.154912,4.1,2.0,Café,,"75, İzmir",663,foursquare
Nihat'ın Yeri,38.464258,27.161285,,1.0,Sandwich Spot,,,343,foursquare
Deniz Kenarı Murat Mangal Evi,38.463605,27.157648,,2.0,BBQ,,,355,foursquare
Mandarin,38.467054,27.153591,3.9,,Restaurant,,"Turan Mah, İzmir",349,foursquare
Ekmek Teknesi,38.467155,27.148262,,3.0,Seafood,,"Turan, Bayraklı, İzmir",113,foursquare
Sandal Marina,38.464966,27.146514,3.55,3.0,Seafood,(0232) 366 88 86,"Bayraklı, Turan, İzmir",356,foursquare
Köfteci Esat,38.464928,27.149242,,,Kebab,,"Pink Club Karşısı (turan), İzmir",246,foursquare
Yıl Teras Cafe,38.471745,27.154912,4.1,2.0,Café,,"75, İzmir",688,foursquare
Liamme,38.465664,27.14574,,2.0,Breakfast,,,368,foursquare
Rumeli Meyhanesi,38.467329,27.154063,,2.0,Turkish,,,390,foursquare
Kafe Kahverengi,38.463338,27.148066,,2.0,Café,,,441,foursquare
Havuz Cafe Restoran-Bayraklı A.Ş.,38.466638,27.159121,3.55,2.0,Café,,"Altınyol Cad No:75/A Fuat Edip Baksı Mah Bayraklı, Bayraklı",832,foursquare
Cafe Cansu,38.467867,27.160206,3.75,2.0,Café,(0232) 341 43 44,"Zeki Yavaş Cad No: 78, Bayraklı",930,foursquare
Mekanique,38.456052,27.120657,4.1,,Dining and Drinking,0532 057 84 72,"Cemal Gürsel Cad No:196, Karşıyaka",77,foursquare
Tarihi Konak Balıkçısı,38.454727,27.119589,4.1,,Dining and Drinking,,,88,foursquare
Çorbacı Cenko,38.455443,27.1191,4.2,1.0,Soup Spot,(0232) 324 10 02,"1723 Sok No: 5 / A Mah Kemalpaşa Camii Sok (Karşıyaka), İzmir",121,foursquare
Kardeşler Büfe,38.454818,27.118733,4.15,1.0,Sandwich Spot,(0232) 381 82 83,"Cemal Gürsel Cad No:234/B, Karşıyaka",132,foursquare
Evreka Cafe,38.455617,27.118233,4.65,2.0,Café,,"1722 Sok No:7, 35000 Karşıyaka",176,foursquare
Tilla Restaurant,38.456846,27.119317,4.1,2.0,Turkish,(0232) 364 47 01,"1690 Sok No:22/A, Karşıyaka",165,foursquare
Karşıyaka Kokoreç,38.456126,27.118851,4.0,,Kokoreç Restaurant,(0232) 368 78 29,İzmir,158,foursquare
Köfteci Erol,38.456036,27.118139,4.45,2.0,Turkish,(0232) 368 56 22,"1721 Sok No:4 Melek İşhanı Ve Pasajı P05, Karşıyaka",212,foursquare
Yağmur Cafe,38.455672,27.118282,4.1,2.0,Café,,İzmir,185,foursquare
Karşıyaka Meyhane,38.454399,27.1179,4.25,,Meyhane,,,223,foursquare
Kent Restaurant,38.448912,27.112318,4.05,2.0,Seafood,(0232) 369 30 74,"Cemal Gürsel Cad No:53/A, 35510 Karşıyaka",172,foursquare
Yelken Restaurant,38.450705,27.108244,4.25,3.0,Seafood,(0232) 368 48 48,"Cemal Gürsel Cad No:416/A, Karşıyaka",243,foursquare
Pitas Boşnak Börekçisi,38.454437,27.111722,4.25,2.0,Café,,"Fazıl Bey Cad, İzmir",573,foursquare
Aytekin Usta,38.454655,27.110153,4.4,2.0,Turkish,(0232) 364 25 99,"Aksoy Cad Karşıyaka, 35580 İzmir",591,foursquare
Adı Tadı Kahvaltı & Cafe,38.453057,27.105591,4.15,2.0,Breakfast,,"Girne Bul 24/A Karşıyaka (Girne Bulvarı), İzmir",599,foursquare
Gordios Cafe & Ev Yemekleri,38.453448,27.105936,4.2,,Turkish Home Cooking,(0232) 381 40 50,"Girne Cad 27/A, İzmir",621,foursquare
Şehnaz Özbek Mantısı,38.454571,27.106834,4.65,,Manti,0532 713 91 04,"Girne BLV 36-6A (Girne caddesi no:36-6A Karşıyaka), Karşıyaka",666,foursquare
Balıkhanee,38.455236,27.107513,4.15,3.0,Seafood,(0232) 369 99 96,"Fazıl Bey Cad No:95/1 (Fazıl Bey Caddesi), 35580 Karşıyaka",677,foursquare
Aslı Pide Pizza Ve Lahmacun Salonu,38.455236,27.10844,4.0,2.0,Turkish,(0232) 381 01 01,"1738 Sok No:87/1B Aksoy Karşıyaka (Girne Caddesi), 35530 İzmir",651,foursquare
Aksoy Pide,38.455018,27.107228,4.2,,Pide,,"Aksoy Cad (Girne Blv.), İzmir",698,foursquare
Adı Tadı Kahvaltı & Cafe,38.453057,27.105591,4.15,2.0,Breakfast,,"Girne Bul 24/A Karşıyaka (Girne Bulvarı), İzmir",244,foursquare
Gordios Cafe & Ev Yemekleri,38.453448,27.105936,4.2,,Turkish Home Cooking,(0232) 381 40 50,"Girne Cad 27/A, İzmir",302,foursquare
İkram Evi Karşıyaka İzmir,38.454509,27.104091,4.65,,Turkish Home Cooking,(0232) 368 50 47,Karşıyaka,354,foursquare
Yelken Restaurant,38.450705,27.108244,4.25,3.0,Seafood,(0232) 368 48 48,"Cemal Gürsel Cad No:416/A, Karşıyaka",360,foursquare
Cafe La Vie,38.453531,27.10091,4.4,2.0,Café,(0232) 364 35 06,"Cemal Gürsel Cad, No: 407 / A, Denizbostanlısı, 35000 Karşıyaka",403,foursquare
Şehnaz Özbek Mantısı,38.454571,27.106834,4.65,,Manti,0532 713 91 04,"Girne BLV 36-6A (Girne caddesi no:36-6A Karşıyaka), Karşıyaka",448,foursquare
Peri Art Cafe,38.45425,27.10059,4.35,2.0,Café,,Karşıyaka,458,foursquare
Thechef4U,38.455331,27.106021,4.3,,Food Court,0530 733 15 95,"Nebil Susup Sok No:112/A, İzmir",480,foursquare
Ler Cafe,38.454542,27.100782,4.2,1.0,Café,,2008 Sok 1A Bostanlı (Bostanlı),484,foursquare
Aksoy Pide,38.455018,27.107228,4.2,,Pide,,"Aksoy Cad (Girne Blv.), İzmir",515,foursquare
Cafe Park,38.455285,27.098378,4.05,2.0,Café,(0232) 362 72 29,"Bostanli, İzmir",159,foursquare
Muhtelif Meyhane,38.456033,27.094959,4.4,,Meyhane,0530 861 98 83,"Suat Gürbüzer Sok No:9/A, 35590 Karşıyaka",230,foursquare
Gets Refined Patisserie,38.456943,27.095484,4.15,1.0,Bakery,,35590 İzmir,279,foursquare
Tuzu Biberi Kahvaltı Ve Yemek Evi,38.456256,27.094229,4.1,2.0,Turkish,(0232) 330 08 88,"1807 / 1 Sok, No: 16 / Cad, Denizbostanlısı (Hasan Ali Yücel Bulvari), 35590 Karşıyaka",283,foursquare
Selanik Meyhanesi,38.457335,27.097683,4.25,,Meyhane,0544 305 40 70,"Cemal Gürsel Cad No:77/1 A (Bostanlı Camii), 35290 İzmir",305,foursquare
Kokoreççi Baki Usta,38.457469,27.097431,4.4,2.0,Kokoreç Restaurant,(0232) 362 19 82,"Cemal Gürsel Cad No:500/B Bostanli Karsiyaka Izmir, İzmir",334,foursquare
Gourmet,38.456898,27.099458,4.4,1.0,Bakery,(0232) 362 68 78,"1794 Sok, 35540 İzmir",337,foursquare
Peri Art Cafe,38.45425,27.10059,4.35,2.0,Café,,Karşıyaka,337,foursquare
Ler Cafe,38.454542,27.100782,4.2,1.0,Café,,2008 Sok 1A Bostanlı (Bostanlı),340,foursquare
Cafe La Vie,38.453531,27.10091,4.4,2.0,Café,(0232) 364 35 06,"Cemal Gürsel Cad, No: 407 / A, Denizbostanlısı, 35000 Karşıyaka",359,foursquare
Köfteci Yalçın Baba,38.461835,27.086263,4.25,1.0,Food Truck,,"Bostanlı Cep, İzmir",132,foursquare
Tuzu Biberi Kahvaltı Ve Yemek Evi,38.456256,27.094229,4.1,2.0,Turkish,(0232) 330 08 88,"1807 / 1 Sok, No: 16 / Cad, Denizbostanlısı (Hasan Ali Yücel Bulvari), 35590 Karşıyaka",122,foursquare
Muhtelif Meyhane,38.456033,27.094959,4.4,,Meyhane,0530 861 98 83,"Suat Gürbüzer Sok No:9/A, 35590 Karşıyaka",188,foursquare
Gets Refined Patisserie,38.456943,27.095484,4.15,1.0,Bakery,,35590 İzmir,252,foursquare
RCS Cafe,38.458792,27.094241,4.1,2.0,Café,(0232) 330 30 43,"Cengiz Topel Cad, No: 4, A, 35540 Karşıyaka",325,foursquare
The Huch,38.459183,27.092434,4.25,2.0,Café,,"Cengiz Topel Cad No:21 A (cengiz topel), 35000 İzmir",346,foursquare
Karaf Meyhane,38.457893,27.096322,4.45,,Meyhane,,"Cemal Gürsel Cad No:97/B, Karşıyaka",395,foursquare
Dodi Çiğ Börek,38.458256,27.096178,4.1,,Borek,(0232) 330 75 57,"Şehitler Bul No: 9/E, Karşıyaka Merkez, 35160 İzmir",406,foursquare
Karşıyaka Meze Evi Ev Yemekleri,38.458715,27.096397,4.55,2.0,Restaurant,(0232) 336 90 00,İzmir,449,foursquare
Bostanli Uskup Restoran,38.458094,27.09687,4.15,3.0,Seafood,0532 320 05 74,"Cemal Gursel Cad No: 516/A Karsiyaka, Karşıyaka",421,foursquare
Yasemin Cafe,38.462527,27.084649,4.1,1.0,Café,(0232) 330 90 80,"Cemal Gürsel Cad, 35530 Karşıyaka",29,foursquare
Yasemin Kafe,38.462477,27.084511,,2.0,Café,,İzmir,50,foursquare
Çukutala Café,38.461646,27.089248,4.2,1.0,Bakery,(0232) 330 44 11,"Cengiz Topel Cad No: 46/1-d (Cengiz Topel), Karşıyaka",385,foursquare
Pizza Rucola,38.464193,27.090012,4.3,2.0,Pizza,0850 279 7936,"Bestekar Sadi Hoşses Sok No:42/A, Karşıyaka",482,foursquare
Shebo's Sandwich & Burger,38.464193,27.090012,4.15,2.0,Burgers,(0232) 336 00 66,"Bestekar Sadi Hoşses Sok No:42B, 35550 Karşıyaka",477,foursquare
Yuka Brasserie,38.461422,27.089051,3.55,,Brasserie,,"Cengiz Topel Cad No46/B, İzmir",375,foursquare
Boğaziçi Restaurant Bostanlı,38.460367,27.090809,4.5,3.0,Turkish,(0232) 330 00 13,"Cengiz Topel Cad No: 38 / B Bostanlı (Bostanlı), 35540 Karşıyaka",543,foursquare
Offal Food,38.46478,27.090993,4.4,,Dining and Drinking,(0232) 300 03 60,"Cahar Dudayev Bul No:157/C Karşıyaka, 35590 İzmir",594,foursquare
Kemal Usta Et & Köfte,38.466098,27.089745,4.2,4.0,Steakhouse,(0232) 336 23 24,"Caher Dudayev Bul No: 139/B Atakent, Bostanli, 35550 Karşıyaka",584,foursquare
Hayyam Meyhanesi,38.467417,27.087215,4.15,,Meyhane,(0232) 486 12 86,"Caher Dudayev BLV. No:106/A, Karşıyaka",606,foursquare
Yasemin Cafe,38.462527,27.084649,4.1,1.0,Café,(0232) 330 90 80,"Cemal Gürsel Cad, 35530 Karşıyaka",424,foursquare
Denizkent Cafe,38.467592,27.077341,3.95,2.0,Café,,"Sahil Yol, Karşıyaka",440,foursquare
Deniz Kent Restaurant,38.467463,27.076579,3.95,3.0,Seafood,(0232) 324 10 20,"2043 Sok, No: 9, Denizbostanlısı, 35510 Karşıyaka",485,foursquare
Hayyam Meyhanesi,38.467417,27.087215,4.15,,Meyhane,(0232) 486 12 86,"Caher Dudayev BLV. No:106/A, Karşıyaka",527,foursquare
Alsancak Dostlar Fırını,38.469271,27.087166,4.5,1.0,Bakery,(0232) 330 92 02,"Caher Dudayev BLV. No: 107/B Atakent, Karşıyaka",635,foursquare
Kemal Usta Et & Köfte,38.466098,27.089745,4.2,4.0,Steakhouse,(0232) 336 23 24,"Caher Dudayev Bul No: 139/B Atakent, Bostanli, 35550 Karşıyaka",691,foursquare
Pizza Rucola,38.464193,27.090012,4.3,2.0,Pizza,0850 279 7936,"Bestekar Sadi Hoşses Sok No:42/A, Karşıyaka",738,foursquare
Shebo's Sandwich & Burger,38.464193,27.090012,4.15,2.0,Burgers,(0232) 336 00 66,"Bestekar Sadi Hoşses Sok No:42B, 35550 Karşıyaka",729,foursquare
Yasemin Kafe,38.462477,27.084511,,2.0,Café,,İzmir,403,foursquare
Çukutala Café,38.461646,27.089248,4.2,1.0,Bakery,(0232) 330 44 11,"Cengiz Topel Cad No: 46/1-d (Cengiz Topel), Karşıyaka",782,foursquare
Denizkent Cafe,38.467592,27.077341,3.95,2.0,Café,,"Sahil Yol, Karşıyaka",169,foursquare
Deniz Kent Restaurant,38.467463,27.076579,3.95,3.0,Seafood,(0232) 324 10 20,"2043 Sok, No: 9, Denizbostanlısı, 35510 Karşıyaka",222,foursquare
Harbi-ye Dürüm Kebap,38.471087,27.074305,3.95,,Kebab,,"Ege Park Mavişehir Avm (2040 Sokak), İzmir",603,foursquare
Gold Yengeç Restaurant,38.472546,27.075499,3.95,3.0,Seafood,(0232) 502 50 20,"Caher Dudayev BLV. No:40, 35590 Karşıyaka",637,foursquare
Alsancak Dostlar Fırını,38.469271,27.087166,4.5,1.0,Bakery,(0232) 330 92 02,"Caher Dudayev BLV. No: 107/B Atakent, Karşıyaka",712,foursquare
Dükkan Sandwich Kumru,38.471959,27.074518,4.1,2.0,Fast Food,,"2040/4 Sok No:8, İzmir",671,foursquare
Hayyam Meyhanesi,38.467417,27.087215,4.15,,Meyhane,(0232) 486 12 86,"Caher Dudayev BLV. No:106/A, Karşıyaka",685,foursquare
Engözde Et Döner,38.471886,27.084608,4.0,,Restaurant,,35550 İzmir,670,foursquare
Nappo,38.472702,27.074895,3.9,2.0,Pizza,0545 436 27 76,"Aziz Nesin Bul Cad Blok Giris Kat, Carsi Alani No:24 D:Z04, 35590 İzmir",681,foursquare
"Girit Adasi Balikevi, Mavisehir",38.471633,27.085263,3.85,3.0,Fish and Chips Shop,(0232) 337 34 34,"Cahar Dudayevbulvari No79/A Mavişehir-İzmir, 35530 İzmir",677,foursquare
Kuğulu Cafe,38.488922,26.961182,3.55,2.0,Café,,"İzmir Doğal Yaşam Parkı, Çiğli",228,foursquare
Green Big Tween,38.489069,26.961272,,2.0,Breakfast,,,234,foursquare
Başkanın Yeri Sasalı,38.491474,26.951538,4.3,3.0,Seafood,0533 567 13 19,"Ahmet Piriştina Cad, İzmir",756,foursquare
Şen Et Dünyası,38.494602,26.952375,4.45,4.0,Steakhouse,,İzmir,923,foursquare
Flamingo Cafe,38.494356,26.952529,3.95,2.0,Café,,Çiğli,911,foursquare
Derin Unlu Mamulleri,38.494086,26.951179,4.05,1.0,Bakery,,"Sasalı Mah, Çiğli",966,foursquare
Develi Cafe,38.49056,26.967073,3.25,2.0,Café,,"İzmir Doğal Yaşam Parkı, Çiğli",754,foursquare
Tuzla Balık Restaurant,38.491138,26.948307,3.95,2.0,Seafood,(0232) 327 42 99,"Ahmet Piriştina Cad No52 B., 35640 Çiğli",986,foursquare
Metro Simit Evi,38.49411,26.961826,,1.0,Bagels,,,727,foursquare
Șen Köfteci,38.494295,26.952568,,,Dining and Drinking,,"1 Sok (Sasalı Çiğli), İzmir",906,foursquare
Pizza Pizza,38.461393,27.127595,3.9,2.0,Pizza,(0232) 366 91 81,"Yalı Cad No: 2/A, Alaybey (Karşıyaka), Karşıyaka",50,foursquare
Deniz Çay Evi,38.461203,27.126872,3.9,2.0,Café,(0232) 382 46 26,"Yalı Cad No: 4, Karşıyaka Merkez, Karşıyaka",57,foursquare
"Pizza Pizza, Alaybey",38.461393,27.127595,3.55,2.0,Pizza,(0232) 444 45 00,"Cemal Gürsel Cad, Karşıyaka",41,foursquare
Elazığ Çiğ Köftecisi,38.460661,27.127163,3.65,2.0,Turkish,,,59,foursquare
Elazığlı Haliloğlu Çiğ Köftecisi,38.460667,27.126955,3.55,,Cigkofte,(0232) 365 53 23,35050 Karşıyaka,59,foursquare
Chicky,38.460549,27.126944,3.45,2.0,Fast Food,(0232) 366 81 81,"Yalı Cad No:16/A Karşıyaka, İzmir",79,foursquare
Sushitto Karşıyaka,38.460611,27.126905,3.3,3.0,Sushi,,Karşıyaka,85,foursquare
Durmuş Usta,38.462678,27.127802,3.7,1.0,Soup Spot,,"1675 Sok (Cemal Gürsel Caddesi), 35600 İzmir",178,foursquare
Yalı Kumrucu,38.46022,27.12656,3.5,2.0,Burgers,(0232) 372 72 42,"Şehit Asım Aksoy Cad No: 2/B (Alaybey), Karşıyaka",153,foursquare
Tersana Kafe,38.462175,27.127359,3.3,2.0,Café,,,117,foursquare
Gandi'Nin Yeri,38.465187,27.208394,4.35,2.0,Bar,(0232) 374 40 29,"Yüzbaşı İbrahim Hakkı Cad No:127/A, İzmir",69,foursquare
Meyhane,38.46525,27.207428,4.1,2.0,Meyhane,(0232) 373 98 72,"Yüzbaşı İbrahim Hakkı Cad No:123/B, İzmir",51,foursquare
Biz Bize,38.464819,27.207697,4.0,,Restaurant,0554 980 74 01,"Aşık Veysel Rekreasyon Alanı Yanı (Gediz Caddesi), Bornova",106,foursquare
Bahrimu Bodrum Balıkçısı,38.465619,27.206271,3.9,1.0,Seafood,(0232) 339 71 00,"Yüzbaşı İbrahim Hakkı Cad No:155/C (Yüzbaşı İbrahim Hakkı caddesi no 193/A), 35100 Bornova",127,foursquare
Bornovalılar Kasabı,38.464483,27.209256,4.25,4.0,Steakhouse,,555 Sok,182,foursquare
Baba Meyhane,38.464053,27.208597,4.0,,Meyhane,0532 207 17 33,Bornova,197,foursquare
Bade Fırın Cafe,38.464053,27.208597,4.1,2.0,Café,,"Gediz Cad No:36 Bornova (Gediz Caddesi), İzmir",215,foursquare
Artı Burgerhouse,38.461658,27.207315,4.3,2.0,Burgers,0533 945 01 35,"185 Sok No:21, 35100 Bornova",453,foursquare
Dürümcü Oğuz'un Yeri,38.461386,27.207645,4.35,,Kebab,0535 674 15 67,"185 Sok No:40-2, Bornova",486,foursquare
Gerdan Gurme,38.461693,27.204934,3.85,2.0,Fried Chicken,(0232) 342 32 42,"Mustafa Kemal Cad No:116/A Bornova Merkez, Bornova",416,foursquare
Emniyet Restaurant,38.422975,27.141533,4.1,,Meyhane,(0232) 441 43 69,"1367 Sok No:14, İzmir",213,foursquare
Bergama Börek Evi,38.424216,27.139662,4.15,1.0,Dining and Drinking,(0232) 482 02 06,"Hürriyet Bul 1362 Sok No: 24, Konak, İzmir (Fevzi Paşa Caddesi), İzmir",335,foursquare
Ciğerci Ali Baba,38.424573,27.139607,4.05,,Turkish Home Cooking,0532 644 50 96,Konak,337,foursquare
Hayyam Meyhanesi,38.420745,27.143181,4.4,2.0,Turkish,(0232) 483 43 56,İzmir,405,foursquare
Kelle Halil'in Yeri,38.42117,27.141146,4.15,4.0,Meyhane,,"1301 Sok No:49 Basmane, İzmir",392,foursquare
Küncü Fırın & Cafe,38.422668,27.138945,4.3,1.0,Bakery,,"Fevzipaşa Bul No:152/C, Konak",420,foursquare
Fatih Kebap Salonu,38.420371,27.140719,4.15,,Kebab,(0232) 483 05 50,"Anafartalar Cad No:699 Basmane, İzmir",413,foursquare
Remzi Usta Diyarbakır Lezzetleri,38.422668,27.138945,3.95,2.0,Turkish,(0232) 371 21 21,"Fevzi Paşa BLV. 1361 Sok No:115, 03500 İzmir",416,foursquare
Uğur Lokantası,38.423585,27.138456,4.1,3.0,Turkish Home Cooking,(0232) 483 32 34,"Gaziosman Paşa Bul, 1369 Sok, No: 11, Küçükyalı, Konak",449,foursquare
Tarihi Basmane Fırını,38.420706,27.143796,3.8,1.0,Bakery,(0232) 483 04 52,"Anafartalar Cad No:850 (Anafartalar Caddesi), İzmir",399,foursquare
P'an-ku Pancakes,38.430786,27.142122,4.5,2.0,Café,0543 506 94 41,"1382 Sok No:37 (Şair Eşref Bulvarı), 35220 İzmir",127,foursquare
Simarik Cafe,38.429189,27.141268,3.9,2.0,Turkish,,,98,foursquare
Paprica Pizza & Ristorante,38.431971,27.142055,4.4,3.0,Italian,0549 422 22 70,"Dr. Mustafa Enver Bey Cad No: 30/2, 35220 İzmir",252,foursquare
Mavi Köşe,38.427904,27.140134,4.25,2.0,Sandwich Spot,(0232) 446 90 37,"Şht. Nevres Bul Süsler Apt. No: 6/A Montrö Konak, İzmir",268,foursquare
Pizza Locale,38.432524,27.142635,4.55,2.0,Pizza,(0232) 463 45 60,"1390 Sok No:5/B Alsancak, 35220 Konak",310,foursquare
Rimo's Crêperie,38.428865,27.138943,4.25,1.0,Dining and Drinking,0533 361 99 19,"Sevket Ozcelik Sok No: 37/1B Alsancak (Kültür Mahallesi Alsancak), 35210 İzmir",313,foursquare
Favino Alsancak,38.432765,27.140715,4.5,,Theme Restaurant,(0232) 421 93 90,"Dr. Mustafa Enver Bey Cad No:11/A, 35220 İzmir",361,foursquare
Yuzde Yuz Restaurant & Cafe Alsancak,38.432435,27.140332,4.2,3.0,Restaurant,(0232) 422 55 35,"Dr. Mustafa Bey Cad Alsancak, Konak, Konak",352,foursquare
Murano’S,38.432156,27.139158,4.25,3.0,Italian,,İzmir,367,foursquare
Pier’S,38.43253,27.139767,4.35,,Restaurant,,"Dr. Mustafa Enver Bey Cad, İzmir",392,foursquare
Mavi Köşe,38.427904,27.140134,4.25,2.0,Sandwich Spot,(0232) 446 90 37,"Şht. Nevres Bul Süsler Apt. No: 6/A Montrö Konak, İzmir",146,foursquare
Simarik Cafe,38.429189,27.141268,3.9,2.0,Turkish,,,138,foursquare
Rimo's Crêperie,38.428865,27.138943,4.25,1.0,Dining and Drinking,0533 361 99 19,"Sevket Ozcelik Sok No: 37/1B Alsancak (Kültür Mahallesi Alsancak), 35210 İzmir",282,foursquare
P'an-ku Pancakes,38.430786,27.142122,4.5,2.0,Café,0543 506 94 41,"1382 Sok No:37 (Şair Eşref Bulvarı), 35220 İzmir",338,foursquare
Aklan Unlu Mamülleri,38.42849,27.138335,3.85,1.0,Bakery,,"1379 sokak, 35240 İzmir",291,foursquare
Balıkada,38.428485,27.136569,4.45,3.0,Seafood,(0232) 484 12 14,"Sehit Nevres Bul No: 2/G-h Swissotel Alti, İzmir",450,foursquare
Ciğerci Ali Baba,38.424573,27.139607,4.05,,Turkish Home Cooking,0532 644 50 96,Konak,414,foursquare
Paprica Pizza & Ristorante,38.431971,27.142055,4.4,3.0,Italian,0549 422 22 70,"Dr. Mustafa Enver Bey Cad No: 30/2, 35220 İzmir",461,foursquare
